U.S. Senator (Vote For 1),,,,,,,
,,Casey Chlebek,Don Tracy,R. Cary Capparelli,Pamela Denise Long,"Jimmy Lee Tillman, II",Jeannie Evans
County,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes
Antioch 1,1085,16,25,7,11,4,13
Antioch 2,1086,10,26,9,3,5,12
Antioch 3,1029,9,24,14,8,0,20
Antioch 4,1051,7,25,5,5,1,9
Antioch 5,1110,16,15,4,2,1,19
Antioch 6,1094,4,20,6,3,4,13
Antioch 7,1066,9,19,5,8,3,23
Antioch 8,1102,8,13,3,8,1,18
Antioch 9,1092,4,22,5,10,2,18
Antioch 10,1229,8,12,9,0,1,6
Antioch 11,1322,16,22,5,7,5,13
Antioch 12,1077,7,25,13,7,1,19
Antioch 13,1022,11,20,8,1,1,5
Antioch 14,1177,24,22,4,5,3,11
Antioch 15,1065,13,28,21,13,6,24
Antioch 16,1038,12,25,5,4,3,18
Antioch 17,1015,13,38,9,5,5,19
Antioch 18,1037,6,18,7,8,6,9
Antioch 19,1068,6,24,7,5,2,11
Avon 20,1195,5,17,4,1,3,8
Avon 21,1168,5,6,3,0,2,3
Avon 22,1171,9,10,4,3,3,10
Avon 23,1226,5,19,4,6,2,13
Avon 24,1191,5,8,1,3,4,16
Avon 25,1066,7,21,10,8,1,30
Avon 26,825,9,12,7,7,1,11
Avon 27,1159,3,10,4,3,2,10
Avon 28,1122,6,10,4,3,4,8
Avon 29,1233,5,8,5,3,0,11
Avon 30,1236,7,8,5,5,2,8
Avon 31,1300,5,13,2,4,2,4
Avon 32,1182,6,16,6,5,4,12
Avon 33,1294,5,13,4,1,4,12
Avon 34,1109,3,11,5,3,2,8
Avon 35,1123,16,16,5,2,1,11
Avon 36,1190,3,7,1,3,2,9
Avon 37,884,3,9,2,4,3,6
Avon 38,1041,5,6,4,3,3,14
Avon 39,1192,2,11,6,0,1,13
Avon 40,1443,11,9,6,3,0,14
Avon 41,1111,5,6,3,0,3,6
Avon 42,1238,1,10,5,4,2,5
Avon 43,1217,9,15,5,2,4,8
Avon 44,1025,8,16,1,6,1,20
Avon 45,1006,3,15,2,4,0,16
Avon 46,1118,5,19,9,2,2,9
Avon 47,1081,6,17,7,2,4,20
Avon 48,1301,7,22,13,4,5,21
Avon 49,1160,3,21,5,3,0,13
Avon 50,1228,6,16,4,5,1,6
Avon 51,1189,8,16,3,8,2,17
Avon 52,1121,9,9,5,2,0,9
Benton 53,1085,9,18,5,10,1,22
Benton 54,933,9,17,8,4,9,21
Benton 55,990,4,39,11,7,4,12
Benton 56,879,9,21,7,3,0,15
Benton 57,897,5,23,10,3,2,13
Benton 58,888,5,23,11,12,3,10
Benton 59,975,6,6,7,4,0,6
Benton 60,1120,6,21,5,6,3,11
Benton 61,1351,6,8,1,4,0,3
Benton 62,1121,3,17,0,1,1,12
Benton 63,1076,8,18,3,8,2,20
Benton 64,803,3,9,5,2,1,7
Benton 65,827,4,9,4,1,0,4
Cuba 66,798,7,30,10,6,0,13
Cuba 67,1110,11,35,18,11,5,14
Cuba 68,1021,12,38,9,10,3,30
Cuba 69,1133,13,43,11,8,8,29
Cuba 70,1099,18,39,7,10,2,25
Cuba 71,1068,8,37,10,7,7,19
Cuba 72,1141,7,34,8,9,3,23
Cuba 73,1106,6,39,6,4,4,26
Cuba 74,1100,7,35,7,13,4,28
Cuba 75,995,5,40,2,4,2,35
Cuba 76,1058,8,46,6,9,2,28
Cuba 77,1043,6,23,8,6,3,15
Cuba 78,1182,16,40,7,10,3,26
Ela 79,1122,9,44,8,5,1,31
Ela 80,1237,7,37,3,9,0,20
Ela 81,1044,5,31,2,7,1,17
Ela 82,1274,5,42,3,9,2,4
Ela 83,1174,6,23,4,6,2,18
Ela 84,1108,3,31,3,8,4,22
Ela 85,1225,9,64,5,6,4,19
Ela 86,1210,5,39,4,1,1,24
Ela 87,1114,14,28,8,3,1,17
Ela 88,1122,14,51,5,3,0,32
Ela 89,1188,5,29,5,6,1,16
Ela 90,1168,1,23,4,3,5,10
Ela 91,1216,13,36,5,7,1,22
Ela 92,1119,5,34,1,11,0,15
Ela 93,1086,5,22,5,7,1,10
Ela 94,1069,16,33,4,3,3,13
Ela 95,1109,6,19,7,5,4,10
Ela 96,1124,4,15,4,2,2,24
Ela 97,1116,0,19,5,0,3,12
Ela 98,1171,1,16,5,4,2,10
Ela 99,1219,6,32,6,3,4,19
Ela 100,1049,6,19,4,1,2,7
Ela 101,1166,4,23,7,9,2,19
Ela 102,1067,6,40,10,1,4,31
Ela 103,1120,6,43,6,3,1,17
Ela 104,1133,9,29,5,6,2,27
Ela 105,1175,17,30,5,5,4,19
Ela 106,1236,12,44,5,2,8,19
Ela 107,1095,6,41,4,2,1,11
Fremont 108,1300,7,17,5,5,1,5
Fremont 109,1334,2,9,6,5,2,7
Fremont 110,1162,14,38,8,15,2,26
Fremont 111,1193,21,31,13,14,1,37
Fremont 112,1085,6,18,7,2,1,9
Fremont 113,825,5,21,9,0,1,13
Fremont 114,1137,2,18,4,4,0,32
Fremont 115,1303,4,14,12,9,3,20
Fremont 116,997,2,30,7,3,0,14
Fremont 117,847,5,32,6,11,1,19
Fremont 118,1252,14,29,8,1,0,14
Fremont 119,1133,10,29,3,2,2,15
Fremont 120,1212,13,16,4,4,3,14
Fremont 121,1154,6,11,3,6,0,15
Fremont 122,1146,7,25,6,3,4,20
Fremont 123,1143,7,5,8,5,2,10
Fremont 124,1129,14,15,0,3,7,13
Fremont 125,1064,3,22,2,6,1,12
Fremont 126,1155,7,15,5,2,2,10
Fremont 127,1140,8,9,6,3,0,11
Fremont 128,1155,2,9,7,3,1,16
Fremont 129,1152,3,20,7,7,0,17
Grant 130,1080,7,24,9,9,3,13
Grant 131,1167,4,19,12,5,6,15
Grant 132,1190,8,21,13,6,2,17
Grant 133,1084,14,19,5,5,1,23
Grant 134,1186,5,28,12,7,4,19
Grant 135,1136,9,14,13,8,6,14
Grant 136,1293,18,30,14,11,3,24
Grant 137,1160,12,18,7,5,5,14
Grant 138,972,7,16,4,6,5,14
Grant 139,1170,14,16,8,7,5,18
Grant 140,1168,3,16,7,2,6,17
Grant 141,898,2,17,6,3,3,4
Grant 142,982,9,5,3,0,4,4
Grant 143,977,1,7,6,4,1,17
Grant 144,1373,4,19,11,5,2,18
Grant 145,912,8,23,4,8,0,14
Grant 146,1157,1,13,6,5,0,9
Grant 147,1192,6,16,0,5,3,13
Lake Villa 148,1273,11,29,8,7,2,13
Lake Villa 149,1273,12,23,12,5,1,21
Lake Villa 150,1189,8,28,16,6,3,21
Lake Villa 151,1239,7,20,10,4,4,15
Lake Villa 152,1222,10,34,12,5,5,16
Lake Villa 153,1190,11,15,9,3,0,18
Lake Villa 154,1011,12,18,2,7,2,10
Lake Villa 155,891,5,17,2,6,3,13
Lake Villa 156,1042,8,20,10,8,5,12
Lake Villa 157,1088,6,20,5,2,0,13
Lake Villa 158,950,3,6,6,4,1,12
Lake Villa 159,1096,10,24,5,6,2,11
Lake Villa 160,1065,8,15,5,4,2,17
Lake Villa 161,1106,4,16,8,7,2,24
Lake Villa 162,1165,6,26,4,1,3,13
Lake Villa 163,1123,10,21,8,4,1,10
Lake Villa 164,1038,7,3,1,2,5,6
Lake Villa 165,1080,4,9,6,0,2,17
Lake Villa 166,1147,2,6,3,3,2,12
Lake Villa 167,1106,5,10,2,1,2,4
