COMPTROLLER (Vote For 1),,,,,,,,,,,,,,,,,,,,,,
,,Karina Villa,,,,,Stephanie A. Kifowit,,,,,Holly Kim,,,,,Margaret Croke,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Alden 1,1000,13,7,3,0,23,7,4,5,1,17,13,10,3,2,28,25,6,1,1,33,101
Algonquin 1,961,8,9,11,2,30,10,3,2,0,15,31,13,9,0,53,22,11,6,0,39,137
Algonquin 2,980,30,16,9,0,55,11,6,8,0,25,28,16,11,0,55,43,18,3,3,67,202
Algonquin 3,925,16,16,7,1,40,7,1,2,0,10,16,15,9,4,44,10,18,6,0,34,128
Algonquin 4,995,20,19,11,3,53,5,1,5,0,11,10,16,11,0,37,10,18,11,1,40,141
Algonquin 5,1154,16,13,11,1,41,7,6,4,0,17,19,13,6,1,39,13,18,12,1,44,141
Algonquin 6,1026,20,11,8,1,40,6,3,5,0,14,15,11,11,0,37,19,9,6,4,38,129
Algonquin 7,1039,20,8,0,1,29,9,1,2,0,12,12,11,6,1,30,18,13,5,2,38,109
Algonquin 8,1059,24,15,7,3,49,8,8,4,0,20,23,18,11,0,52,27,19,5,2,53,174
Algonquin 9,987,14,13,7,0,34,5,4,1,1,11,8,13,5,0,26,41,20,11,4,76,147
Algonquin 10,1002,20,9,5,0,34,3,2,4,1,10,19,9,8,0,36,17,7,8,0,32,112
Algonquin 11,870,17,10,5,0,32,8,3,5,0,16,13,9,8,0,30,20,9,11,0,40,118
Algonquin 12,847,16,13,7,0,36,4,3,1,1,9,22,9,3,3,37,25,11,5,4,45,127
Algonquin 13,810,13,7,3,0,23,5,2,2,2,11,16,7,10,3,36,22,14,9,1,46,116
