GOVERNOR AND LIEUTENANT GOVERNOR (Vote For 1),,,,,,,
,,(JB Pritzker /  Christian Mitchell,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Alden 1,1000,59,28,16,4,107,107
Algonquin 1,961,72,34,35,3,144,144
Algonquin 2,980,112,58,31,4,205,205
Algonquin 3,925,57,52,25,5,139,139
Algonquin 4,995,47,52,44,4,147,147
Algonquin 5,1154,59,54,40,3,156,156
Algonquin 6,1026,63,36,35,5,139,139
Algonquin 7,1039,64,35,13,5,117,117
Algonquin 8,1059,87,64,29,5,185,185
Algonquin 9,987,67,52,26,5,150,150
Algonquin 10,1002,62,27,24,2,115,115
Algonquin 11,870,64,34,29,0,127,127
Algonquin 12,847,73,38,20,8,139,139
Algonquin 13,810,62,31,28,6,127,127
Algonquin 14,1001,84,42,38,2,166,166
Algonquin 15,955,29,32,29,1,91,91
Algonquin 16,1033,48,46,30,8,132,132
Algonquin 17,942,45,30,31,11,117,117
Algonquin 18,1159,74,63,33,10,180,180
Algonquin 19,861,56,27,6,5,94,94
Algonquin 20,978,69,31,30,4,134,134
Algonquin 21,1004,68,42,44,4,158,158
Algonquin 22,1016,92,42,37,5,176,176
Algonquin 23,767,39,40,22,1,102,102
Algonquin 24,773,35,23,11,4,73,73
Algonquin 25,909,48,32,17,1,98,98
Algonquin 26,921,39,25,21,2,87,87
Algonquin 27,962,61,26,25,5,117,117
Algonquin 28,1105,100,65,50,8,223,223
Algonquin 29,986,45,36,21,1,103,103
Algonquin 30,899,40,29,31,4,104,104
Algonquin 31,1298,78,32,21,5,136,136
Algonquin 32,939,63,37,33,2,135,135
Algonquin 33,1081,89,35,37,10,171,171
Algonquin 34,933,64,36,27,1,128,128
Algonquin 35,1015,53,27,29,4,113,113
Algonquin 36,858,73,18,26,2,119,119
Algonquin 37,933,64,20,13,2,99,99
Algonquin 38,1043,81,17,20,2,120,120
Algonquin 39,946,78,26,17,5,126,126
Algonquin 40,861,65,31,13,7,116,116
Algonquin 41,998,63,29,31,6,129,129
Algonquin 42,969,85,50,30,5,170,170
Algonquin 43,706,52,21,7,2,82,82
Algonquin 44,901,61,17,22,3,103,103
Algonquin 45,935,80,32,36,0,148,148
Algonquin 46,1085,90,30,45,11,176,176
Algonquin 47,992,72,37,33,3,145,145
Algonquin 48,938,94,35,21,4,154,154
Algonquin 49,932,58,27,29,5,119,119
Algonquin 50,992,90,34,33,2,159,159
Algonquin 51,1031,91,35,35,2,163,163
Algonquin 52,1012,105,26,20,5,156,156
Algonquin 53,1056,62,22,21,6,111,111
Algonquin 54,988,64,27,17,1,109,109
Algonquin 55,1055,114,27,28,3,172,172
Algonquin 56,882,103,35,20,8,166,166
Algonquin 57,979,91,27,31,2,151,151
Algonquin 58,1032,97,26,33,4,160,160
Algonquin 59,1053,80,30,30,7,147,147
Algonquin 60,1136,68,24,29,6,127,127
Algonquin 61,995,63,37,37,8,145,145
Algonquin 62,1038,55,33,48,3,139,139
Algonquin 63,967,104,30,22,2,158,158
Burton 1,981,26,16,32,1,75,75
Burton 2,943,32,22,16,2,72,72
Burton 3,920,45,17,23,3,88,88
Burton 4,866,37,11,25,1,74,74
Chemung 1,845,42,16,23,3,84,84
Chemung 2,970,40,2,12,0,54,54
Chemung 3,761,27,6,21,5,59,59
Chemung 4,811,39,10,8,1,58,58
Chemung 5,773,44,7,21,3,75,75
Coral 1,1007,49,11,34,4,98,98
Coral 2,910,44,6,19,3,72,72
Coral 3,928,37,24,30,4,95,95
Dorr 1,922,41,37,21,10,109,109
Dorr 2,962,57,29,43,1,130,130
Dorr 3,990,61,25,27,4,117,117
Dorr 4,976,93,29,35,4,161,161
Dorr 5,954,80,47,42,6,175,175
Dorr 6,1020,71,24,27,2,124,124
Dorr 7,966,61,52,30,5,148,148
Dorr 8,985,66,48,34,2,150,150
Dorr 9,1087,37,27,20,3,87,87
Dorr 10,1104,33,17,21,2,73,73
Dorr 11,970,35,44,36,7,122,122
Dorr 12,1056,60,10,20,7,97,97
Dorr 13,1226,54,29,50,8,141,141
Dorr 14,1057,60,30,39,9,138,138
Dunham 1,755,43,22,11,0,76,76
Dunham 2,720,39,17,27,0,83,83
Grafton 1,1059,42,22,33,1,98,98
Grafton 2,1122,102,32,16,6,156,156
Grafton 3,1078,91,29,36,4,160,160
Grafton 4,1469,54,38,47,2,141,141
Grafton 5,904,35,17,16,5,73,73
Grafton 6,1105,44,24,29,7,104,104
Grafton 7,1045,60,43,44,3,150,150
Grafton 8,935,45,39,21,6,111,111
Grafton 9,1120,49,26,32,4,111,111
Grafton 10,1077,53,18,17,2,90,90
Grafton 11,779,37,21,13,4,75,75
Grafton 12,1043,45,29,26,3,103,103
Grafton 13,1096,47,44,32,6,129,129
Grafton 14,1499,59,29,25,1,114,114
Grafton 15,902,55,75,83,2,215,215
Grafton 16,1131,50,30,27,2,109,109
Grafton 17,1108,36,21,35,0,92,92
Grafton 18,910,45,42,38,1,126,126
Grafton 19,1065,41,29,12,4,86,86
Grafton 20,1080,36,34,17,4,91,91
Grafton 21,1024,53,24,30,7,114,114
Grafton 22,1000,39,18,10,2,69,69
Grafton 23,1131,64,8,19,4,95,95
Grafton 24,1089,35,17,25,2,79,79
Grafton 25,1038,45,23,23,4,95,95
Grafton 26,1054,81,72,99,1,253,253
Grafton 27,1053,52,59,59,6,176,176
Grafton 28,877,46,22,11,6,85,85
Grafton 29,1149,67,13,32,1,113,113
Grafton 30,1413,39,34,39,2,114,114
Grafton 31,986,50,30,34,5,119,119
Grafton 32,1022,32,27,21,10,90,90
Grafton 33,799,33,28,29,4,94,94
Grafton 34,723,33,24,21,4,82,82
Grafton 35,1181,58,7,23,3,91,91
Grafton 36,972,25,22,16,8,71,71
Grafton 37,1165,43,15,21,2,81,81
Grafton 38,1029,51,29,47,5,132,132
Greenwood 1,838,33,21,14,0,68,68
Greenwood 2,913,39,50,33,11,133,133
Greenwood 3,998,59,17,31,5,112,112
Greenwood 4,1030,61,19,32,5,117,117
Greenwood 5,966,23,32,24,10,89,89
Greenwood 6,1064,40,48,37,2,127,127
Greenwood 7,744,24,5,12,0,41,41
Greenwood 8,959,48,15,23,2,88,88
Greenwood 9,1261,45,15,21,5,86,86
Greenwood 10,723,22,30,23,5,80,80
Hartland 1,724,31,9,24,1,65,65
Hartland 2,718,49,27,16,2,94,94
Hebron 1,835,55,12,15,5,87,87
Hebron 2,830,80,19,16,1,116,116
Marengo 1,840,40,10,18,3,71,71
Marengo 2,926,41,9,23,0,73,73
