GOVERNOR AND LIEUTENANT GOVERNOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Ted Dabrowski / Carrie Mendoza,,,,,(James Mendrick / Robert Renteria,,,,,(Darren Bailey / Aaron B. Del Mar,,,,,(Rick Heidner / Christina Neitzke-,,,,,WRITE-IN,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Alden 1,1000,29,3,5,0,37,15,2,0,0,17,57,7,10,1,75,13,0,1,0,14,1,0,0,0,1,144
Algonquin 1,961,53,5,5,1,64,1,0,0,2,3,9,2,3,0,14,0,1,3,0,4,0,0,0,0,0,85
Algonquin 2,980,22,3,3,0,28,0,0,0,1,1,13,4,3,0,20,6,1,0,0,7,0,0,0,0,0,56
Algonquin 3,925,20,12,6,0,38,2,1,0,0,3,12,1,3,0,16,6,0,0,0,6,0,0,0,0,0,63
Algonquin 4,995,14,3,0,2,19,3,0,2,1,6,13,7,2,2,24,3,2,2,0,7,0,0,0,0,0,56
Algonquin 5,1154,10,5,0,1,16,1,0,0,0,1,9,4,2,0,15,4,3,1,0,8,0,0,0,0,0,40
Algonquin 6,1026,13,3,3,0,19,10,0,0,0,10,11,4,7,0,22,4,0,1,0,5,0,0,0,0,0,56
Algonquin 7,1039,8,9,3,2,22,1,1,2,1,5,12,5,1,0,18,6,4,1,0,11,0,0,0,0,0,56
Algonquin 8,1059,23,12,1,2,38,3,3,0,0,6,12,8,5,1,26,1,2,1,0,4,0,0,0,0,0,74
Algonquin 9,987,17,8,0,0,25,1,0,1,0,2,14,8,0,1,23,10,0,0,0,10,0,0,0,0,0,60
Algonquin 10,1002,6,1,0,0,7,2,0,0,0,2,10,1,3,0,14,2,0,2,0,4,0,0,0,0,0,27
Algonquin 11,870,27,17,2,0,46,0,3,0,0,3,15,6,2,2,25,5,0,0,0,5,0,0,0,0,0,79
Algonquin 12,847,14,8,0,0,22,3,1,2,0,6,8,1,2,0,11,1,0,1,0,2,0,0,0,0,0,41
Algonquin 13,810,26,7,0,0,33,1,1,0,0,2,5,3,4,1,13,2,1,2,0,5,0,1,0,0,1,54
Algonquin 14,1001,23,15,1,0,39,3,4,0,0,7,18,1,0,0,19,9,1,0,0,10,0,0,0,0,0,75
Algonquin 15,955,18,6,9,0,33,3,0,1,1,5,7,7,2,0,16,7,2,1,0,10,0,0,0,0,0,64
Algonquin 16,1033,7,2,4,0,13,1,3,0,0,4,4,3,2,0,9,5,2,2,0,9,0,0,0,0,0,35
Algonquin 17,942,7,6,2,0,15,2,2,2,0,6,14,4,3,1,22,7,1,2,0,10,0,0,0,0,0,53
Algonquin 18,1159,20,3,6,0,29,1,1,0,0,2,11,11,2,0,24,5,2,2,0,9,0,0,0,0,0,64
Algonquin 19,861,23,0,5,0,28,8,2,0,0,10,10,2,4,1,17,3,0,0,0,3,0,0,0,0,0,58
Algonquin 20,978,21,3,5,0,29,5,1,0,0,6,22,3,3,0,28,3,2,0,0,5,0,0,0,0,0,68
Algonquin 21,1004,21,5,2,0,28,10,8,4,0,22,15,8,8,1,32,11,1,0,0,12,0,0,0,0,0,94
Algonquin 22,1016,30,1,5,0,36,6,0,0,0,6,17,1,0,0,18,5,0,0,0,5,0,0,0,0,0,65
Algonquin 23,767,6,2,1,0,9,0,2,2,0,4,11,6,5,0,22,8,1,0,0,9,0,0,0,0,0,44
Algonquin 24,773,5,2,0,0,7,8,4,0,0,12,3,6,3,0,12,5,3,1,0,9,0,0,0,0,0,40
Algonquin 25,909,8,6,1,0,15,5,1,0,0,6,10,0,2,0,12,3,3,1,0,7,0,0,0,0,0,40
Algonquin 26,921,19,6,3,0,28,10,5,3,0,18,9,4,3,0,16,4,0,0,0,4,1,0,0,0,1,67
Algonquin 27,962,12,2,1,0,15,5,0,2,0,7,18,3,1,0,22,4,1,1,0,6,0,0,0,0,0,50
Algonquin 28,1105,16,6,2,0,24,2,1,1,0,4,8,5,2,0,15,2,3,0,0,5,0,0,0,0,0,48
Algonquin 29,986,11,2,0,0,13,3,2,3,0,8,11,1,5,0,17,4,3,1,1,9,0,0,0,0,0,47
Algonquin 30,899,7,3,5,0,15,1,1,1,1,4,9,1,2,0,12,3,1,1,0,5,0,0,0,0,0,36
Algonquin 31,1298,3,6,3,0,12,2,0,2,0,4,7,4,2,0,13,4,0,2,0,6,0,0,0,0,0,35
Algonquin 32,939,15,9,3,1,28,6,1,1,0,8,11,6,7,0,24,4,1,0,0,5,0,0,0,0,0,65
Algonquin 33,1081,29,7,3,0,39,8,1,0,0,9,14,0,2,0,16,5,1,0,0,6,0,0,0,0,0,70
Algonquin 34,933,13,5,1,0,19,2,0,2,0,4,19,5,3,0,27,5,2,2,0,9,0,0,0,0,0,59
Algonquin 35,1015,12,10,0,0,22,2,2,1,0,5,10,3,1,0,14,4,1,0,0,5,0,0,0,0,0,46
Algonquin 36,858,19,0,0,0,19,4,1,0,0,5,18,2,1,0,21,5,1,2,0,8,0,0,0,0,0,53
Algonquin 37,933,35,2,1,0,38,3,0,1,0,4,20,2,1,0,23,2,0,0,0,2,0,0,0,0,0,67
Algonquin 38,1043,17,4,1,0,22,3,1,1,0,5,16,0,3,0,19,13,0,1,0,14,0,0,0,0,0,60
Algonquin 39,946,21,2,0,0,23,5,3,0,0,8,22,3,6,0,31,7,2,0,0,9,0,0,0,0,0,71
Algonquin 40,861,23,2,2,0,27,2,1,1,0,4,15,4,3,0,22,0,0,1,0,1,0,0,0,0,0,54
Algonquin 41,998,18,5,2,0,25,1,2,0,0,3,20,6,0,0,26,6,0,1,0,7,0,0,0,0,0,61
Algonquin 42,969,10,1,4,0,15,4,1,3,0,8,14,5,1,0,20,8,4,0,1,13,0,0,0,0,0,56
Algonquin 43,706,8,2,2,0,12,6,1,0,0,7,15,7,0,0,22,2,1,0,1,4,0,0,0,0,0,45
Algonquin 44,901,19,4,3,0,26,5,2,1,1,9,22,3,4,0,29,8,0,1,0,9,0,0,0,0,0,73
Algonquin 45,935,32,4,0,0,36,2,2,2,0,6,15,8,6,0,29,6,3,4,0,13,0,0,0,0,0,84
Algonquin 46,1085,14,5,6,1,26,5,2,0,0,7,17,4,6,0,27,6,2,2,0,10,0,0,0,0,0,70
Algonquin 47,992,16,3,4,0,23,3,2,2,0,7,8,4,1,0,13,3,3,1,1,8,0,0,0,0,0,51
Algonquin 48,938,17,2,1,2,22,2,0,0,0,2,25,3,4,0,32,8,0,0,0,8,0,0,0,0,0,64
Algonquin 49,932,20,1,0,1,22,2,4,0,0,6,12,4,6,0,22,4,1,3,0,8,0,0,0,0,0,58
Algonquin 50,992,20,0,1,1,22,4,2,1,0,7,17,4,4,1,26,7,1,0,0,8,0,1,0,0,1,64
Algonquin 51,1031,25,11,3,0,39,1,1,0,0,2,9,3,2,0,14,2,2,1,0,5,0,0,0,0,0,60
Algonquin 52,1012,17,1,1,0,19,5,2,1,0,8,15,2,0,0,17,7,5,1,0,13,0,0,0,0,0,57
Algonquin 53,1056,26,9,10,0,45,3,0,0,0,3,37,9,7,2,55,2,2,0,1,5,0,0,0,0,0,108
Algonquin 54,988,16,2,1,0,19,2,0,1,0,3,17,5,5,0,27,8,1,1,0,10,0,0,0,0,0,59
Algonquin 55,1055,27,5,2,0,34,1,0,4,0,5,21,2,4,0,27,6,2,0,0,8,0,0,0,0,0,74
Algonquin 56,882,24,1,2,2,29,4,0,1,0,5,19,8,5,0,32,2,0,0,2,4,0,0,0,0,0,70
Algonquin 57,979,21,1,1,0,23,3,1,0,0,4,14,4,1,0,19,8,0,0,0,8,0,0,1,0,1,55
Algonquin 58,1032,23,1,1,0,25,4,0,2,0,6,12,1,2,0,15,4,1,3,0,8,0,0,0,0,0,54
Algonquin 59,1053,26,4,4,1,35,4,1,0,0,5,20,8,3,3,34,12,1,1,0,14,0,0,0,0,0,88
Algonquin 60,1136,19,14,9,0,42,1,1,0,0,2,7,1,5,0,13,31,9,4,2,46,0,0,0,0,0,103
Algonquin 61,995,7,4,6,0,17,2,2,0,0,4,7,6,4,0,17,11,0,1,0,12,0,0,0,0,0,50
Algonquin 62,1038,20,13,7,0,40,3,3,2,0,8,19,8,8,0,35,11,9,0,1,21,0,0,0,0,0,104
Algonquin 63,967,16,3,3,2,24,2,1,2,0,5,20,4,2,0,26,6,1,2,0,9,0,0,0,0,0,64
Burton 1,981,28,5,0,0,33,4,1,0,0,5,26,11,3,3,43,5,1,0,0,6,0,0,0,0,0,87
Burton 2,943,27,1,2,0,30,3,2,0,0,5,18,0,3,2,23,4,0,0,0,4,0,0,0,0,0,62
