REPRESENTATIVE IN CONGRESS NINTH CONGRESSIONAL DISTRICT (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Daniel Biss,,,,,Justin Ford,,,,,Mike Simmons,,,,,Bushra Amiwala,,,,,Patricia A. Brown,,,,,Jeff Cohen,,,,,Laura Fine,,,,,Phil Andrew,,,,,Nick Pyati,,,,,Kat Abughazaleh,,,,,Sam Polan,,,,,Bethany Johnson,,,,,Howard Rosenblum,,,,,Hoan Huynh,,,,,Mark Arnold Fredrickson,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Algonquin 1,961,24,13,16,2,55,0,0,1,0,1,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,26,6,8,0,40,8,5,3,0,16,0,0,0,0,0,13,12,7,1,33,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,154
Algonquin 2,980,36,19,7,2,64,0,0,0,0,0,4,3,0,0,7,1,0,1,0,2,1,0,1,0,2,0,0,2,0,2,22,10,14,1,47,8,7,1,0,16,0,0,0,0,0,39,21,8,0,68,1,0,0,1,2,3,0,0,0,3,1,0,0,0,1,2,0,0,0,2,0,1,0,0,1,217
Algonquin 3,925,15,24,6,2,47,0,0,0,0,0,1,1,0,0,2,3,4,0,1,8,2,0,0,0,2,0,0,0,0,0,4,12,7,0,23,3,0,5,0,8,0,0,0,0,0,23,7,5,3,38,3,1,0,0,4,1,2,0,0,3,0,0,0,0,0,3,1,0,0,4,0,0,0,0,0,139
Algonquin 4,995,6,9,10,3,28,0,1,0,0,1,1,5,0,0,6,1,0,3,0,4,1,2,2,0,5,0,0,0,0,0,9,12,14,0,35,0,5,0,0,5,0,0,0,0,0,26,17,13,0,56,0,0,1,0,1,1,0,0,0,1,1,1,0,0,2,2,3,0,0,5,0,0,0,0,0,149
Algonquin 5,1154,9,13,8,1,31,1,1,0,0,2,3,1,3,0,7,0,0,3,0,3,3,1,1,0,5,1,2,0,0,3,12,13,12,1,38,1,0,0,0,1,0,0,0,0,0,30,21,10,2,63,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,155
Algonquin 6,1026,10,10,13,2,35,0,0,0,0,0,3,4,1,0,8,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,21,9,7,0,37,3,3,0,0,6,0,0,1,0,1,18,7,13,3,41,2,1,0,0,3,0,1,0,0,1,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,140
Algonquin 7,1039,12,9,4,1,26,0,0,1,0,1,1,1,0,0,2,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,13,8,2,2,25,1,4,3,1,9,1,0,0,0,1,31,12,1,1,45,2,0,0,0,2,1,0,1,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,118
Algonquin 8,1059,29,14,13,2,58,0,1,0,0,1,2,2,0,0,4,1,0,1,1,3,1,2,0,0,3,0,1,0,0,1,19,15,6,2,42,6,1,1,0,8,0,0,0,0,0,27,24,6,0,57,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,1,0,1,0,2,0,0,2,183
Algonquin 9,987,24,17,12,5,58,0,2,0,0,2,3,1,2,0,6,1,0,0,0,1,1,1,0,0,2,2,0,0,0,2,20,6,8,0,34,6,6,0,0,12,0,0,0,0,0,9,18,4,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,151
Algonquin 10,1002,8,5,7,1,21,1,0,0,0,1,3,1,0,0,4,2,0,3,0,5,2,2,1,0,5,2,1,0,0,3,11,7,6,0,24,5,0,1,0,6,1,0,0,0,1,24,10,6,1,41,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,114
Algonquin 11,870,21,16,15,0,52,1,0,0,0,1,0,0,0,0,0,2,3,0,0,5,2,0,0,0,2,0,0,1,0,1,11,5,4,0,20,2,0,0,0,2,0,0,0,0,0,21,9,7,0,37,0,0,1,0,1,2,0,0,0,2,0,1,0,0,1,1,1,0,0,2,0,0,1,0,1,127
Algonquin 12,847,15,8,6,4,33,0,0,0,0,0,0,1,0,0,1,4,2,0,0,6,0,1,0,0,1,0,1,0,0,1,16,10,5,3,34,7,4,1,0,12,0,0,0,0,0,26,9,5,1,41,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,2,1,2,0,5,1,0,0,0,1,138
Algonquin 13,810,21,10,12,1,44,0,1,0,0,1,1,1,0,0,2,1,1,0,0,2,4,0,0,0,4,1,0,0,0,1,13,2,9,4,28,1,5,2,0,8,0,0,0,0,0,19,10,4,1,34,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,128
Algonquin 14,1001,21,13,10,0,44,0,1,0,0,1,1,0,1,0,2,0,1,1,0,2,1,1,0,0,2,0,0,0,0,0,22,6,18,2,48,2,6,2,0,10,0,0,0,0,0,34,10,4,0,48,0,1,0,0,1,1,1,0,0,2,0,0,0,0,0,4,2,1,0,7,0,0,0,0,0,167
Algonquin 15,955,13,5,13,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,0,0,0,0,0,2,9,13,0,24,2,3,1,0,6,0,0,0,0,0,10,13,1,0,24,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,92
Algonquin 16,1033,11,13,2,1,27,0,0,2,0,2,1,3,0,1,5,1,1,0,0,2,1,2,3,3,9,0,0,0,0,0,5,8,7,0,20,2,4,3,0,9,0,0,0,0,0,26,15,12,2,55,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
Algonquin 17,942,16,9,9,4,38,2,0,0,0,2,4,0,0,0,4,0,3,2,0,5,0,0,0,0,0,0,1,0,0,1,6,4,13,5,28,1,2,1,0,4,0,0,0,0,0,16,8,6,0,30,0,0,0,2,2,0,1,0,0,1,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,118
Algonquin 18,1159,16,22,13,3,54,1,0,0,0,1,0,1,0,0,1,3,1,0,0,4,2,3,4,0,9,1,1,0,1,3,22,10,11,3,46,6,9,5,0,20,0,0,0,0,0,17,16,0,2,35,2,0,0,0,2,0,0,0,0,0,0,1,0,0,1,4,0,1,1,6,1,1,0,0,2,184
Algonquin 19,861,9,6,4,3,22,1,0,0,0,1,2,0,0,0,2,4,0,0,0,4,1,0,0,0,1,1,1,0,0,2,7,6,1,1,15,4,2,0,0,6,0,0,0,0,0,22,10,1,1,34,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,4,0,0,8,0,0,0,0,0,96
Algonquin 20,978,14,8,8,0,30,0,0,0,0,0,0,2,3,0,5,5,2,4,1,12,0,1,0,0,1,1,0,0,1,2,15,8,9,0,32,2,2,1,0,5,0,0,0,0,0,29,8,6,0,43,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,4,0,2,9,0,0,0,0,0,140
Algonquin 21,1004,23,7,14,0,44,1,0,1,0,2,0,2,0,0,2,1,0,1,0,2,1,1,2,0,4,1,0,2,0,3,9,17,14,0,40,2,0,0,0,2,0,0,0,0,0,23,14,7,2,46,2,3,0,0,5,1,0,0,0,1,1,0,0,0,1,7,2,1,2,12,1,0,0,0,1,165
Algonquin 22,1016,23,9,14,0,46,2,2,0,0,4,5,2,0,0,7,1,0,0,0,1,4,2,2,0,8,2,0,0,0,2,12,8,9,1,30,8,4,3,0,15,0,0,0,0,0,27,14,8,5,54,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,6,1,0,0,7,1,0,0,0,1,177
Algonquin 23,767,9,10,9,1,29,1,1,0,0,2,1,1,1,0,3,2,1,0,0,3,2,1,0,0,3,0,0,0,0,0,14,12,7,0,33,1,2,1,0,4,0,0,0,0,0,9,5,3,0,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,8,1,0,11,0,0,0,0,0,106
Algonquin 24,773,12,6,3,1,22,0,0,0,0,0,3,1,0,0,4,1,0,0,0,1,2,1,0,0,3,0,0,0,0,0,4,6,2,0,12,0,2,0,0,2,0,0,0,0,0,12,10,5,3,30,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,77
Algonquin 25,909,15,7,4,1,27,1,0,0,0,1,2,0,0,0,2,2,0,1,0,3,1,0,0,0,1,1,0,0,0,1,10,5,7,0,22,1,3,1,0,5,0,0,0,0,0,16,16,6,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,1,0,0,2,105
Algonquin 26,921,14,7,8,0,29,0,0,0,0,0,1,1,0,1,3,0,2,2,0,4,1,1,0,0,2,1,0,0,0,1,8,5,5,1,19,2,1,1,0,4,0,0,0,0,0,13,7,5,0,25,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,90
Algonquin 27,962,13,6,1,3,23,2,0,0,0,2,2,0,0,0,2,0,1,3,0,4,0,2,2,2,6,1,0,1,0,2,13,6,12,0,31,4,0,1,0,5,0,0,0,0,0,23,6,2,0,31,0,0,0,0,0,1,3,1,0,5,0,0,1,0,1,1,3,1,0,5,0,0,0,0,0,117
Algonquin 28,1105,21,24,15,4,64,1,0,1,0,2,3,3,0,0,6,0,1,1,0,2,1,0,0,0,1,1,0,0,0,1,22,19,21,1,63,6,2,0,0,8,0,0,0,0,0,42,18,9,3,72,1,1,0,0,2,1,0,1,0,2,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,226
Algonquin 29,986,15,8,4,0,27,1,1,1,0,3,1,0,1,0,2,0,1,2,0,3,1,1,0,0,2,0,0,0,0,0,7,5,6,1,19,2,2,0,0,4,0,0,0,0,0,15,15,3,0,33,0,0,2,0,2,0,1,1,0,2,0,1,0,0,1,2,0,0,0,2,0,1,0,0,1,101
Algonquin 30,899,4,11,2,1,18,3,0,0,0,3,0,1,3,0,4,2,0,0,0,2,1,0,1,0,2,0,0,1,1,2,5,3,11,0,19,0,2,1,1,4,1,0,0,0,1,27,12,10,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,106
Algonquin 31,1298,9,5,7,0,21,0,1,0,0,1,2,2,0,0,4,3,0,0,0,3,2,1,1,0,4,0,0,0,0,0,13,3,9,0,25,1,2,2,0,5,0,0,0,0,0,45,20,2,4,71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,138
Algonquin 32,939,22,8,11,0,41,1,0,0,0,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,1,0,0,0,1,17,14,13,0,44,5,2,4,0,11,0,0,0,0,0,13,9,5,0,27,0,1,0,0,1,0,2,0,0,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,133
Algonquin 33,1081,28,12,14,0,54,0,0,0,0,0,1,1,3,0,5,2,0,6,0,8,2,1,0,0,3,0,1,0,1,2,13,4,6,4,27,2,2,1,0,5,1,0,0,0,1,34,12,3,6,55,2,3,4,0,9,2,0,0,1,3,2,0,0,0,2,1,0,1,0,2,0,0,0,0,0,176
Algonquin 34,933,16,14,7,0,37,2,0,0,0,2,3,2,0,0,5,1,1,0,1,3,4,1,0,0,5,0,0,0,0,0,10,8,8,0,26,5,4,2,0,11,1,0,0,0,1,23,6,10,1,40,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,135
Algonquin 35,1015,12,3,5,2,22,2,0,0,0,2,1,2,3,1,7,0,0,1,0,1,1,0,2,0,3,0,0,0,0,0,12,6,6,1,25,1,6,2,0,9,0,0,0,0,0,22,10,8,0,40,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,2,0,3,0,0,0,0,0,115
