UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kevin Ryan,,,,,Robin Kelly,,,,,Juliana Stratton,,,,,Raja Krishnamoorthi,,,,,Steve Botsford Jr.,,,,,Bryan Maxwell,,,,,Jonathan Dean,,,,,Sean Brown,,,,,Awisi A. Bustos,,,,,Christopher Swann,,,,,WRITE-IN,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Alden 1,1000,4,2,0,0,6,5,4,1,0,10,28,9,7,1,45,23,12,6,2,43,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,110
Algonquin 1,961,5,6,2,0,13,7,0,0,0,7,37,18,17,2,74,28,11,18,1,58,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
Algonquin 2,980,4,2,2,0,8,19,4,4,1,28,52,34,10,3,99,39,20,13,0,72,1,0,1,0,2,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,1,0,0,3,0,0,0,0,0,217
Algonquin 3,925,2,3,0,0,5,8,7,3,0,18,19,16,6,2,43,26,25,15,4,70,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,141
Algonquin 4,995,5,1,2,0,8,3,9,1,0,13,28,20,5,0,53,11,21,31,4,67,1,0,0,0,1,0,2,1,0,3,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,150
Algonquin 5,1154,3,4,3,0,10,6,7,2,0,15,32,27,11,3,73,18,16,21,0,55,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,159
Algonquin 6,1026,3,4,2,0,9,10,5,4,1,20,29,10,6,1,46,19,15,22,3,59,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,1,0,1,2,1,0,0,3,1,0,0,0,1,0,0,0,0,0,142
Algonquin 7,1039,7,4,0,0,11,6,8,1,0,15,22,9,6,3,40,26,13,6,2,47,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,119
Algonquin 8,1059,1,2,4,2,9,7,7,6,0,20,48,26,4,2,80,27,27,15,0,69,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,1,2,1,1,0,0,2,0,1,0,0,1,1,1,0,0,2,187
