UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Casey Chlebek,,,,,Don Tracy,,,,,R. Cary Capparelli,,,,,Pamela Denise Long,,,,,"Jimmy Lee Tillman, II",,,,,Jeannie Evans,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Alden 1,1000,9,0,1,0,10,49,3,11,1,64,6,2,1,0,9,13,1,0,0,14,4,1,1,0,6,31,5,2,0,38,141
Algonquin 1,961,5,0,1,0,6,14,3,4,1,22,2,2,0,0,4,1,0,2,0,3,33,1,0,0,34,7,2,1,2,12,81
Algonquin 2,980,4,1,0,0,5,8,2,1,0,11,4,0,0,1,5,8,1,1,0,10,4,0,0,0,4,11,4,5,0,20,55
Algonquin 3,925,1,3,1,0,5,16,4,6,0,26,4,0,0,0,4,3,4,1,0,8,0,1,2,0,3,14,2,1,0,17,63
Algonquin 4,995,3,0,0,0,3,15,6,3,4,28,2,1,1,0,4,1,1,0,0,2,2,2,0,1,5,10,2,1,0,13,55
Algonquin 5,1154,4,1,0,0,5,10,4,1,0,15,0,1,1,1,3,0,4,0,0,4,0,0,0,0,0,9,1,1,0,11,38
Algonquin 6,1026,4,3,3,0,10,13,0,2,0,15,6,0,1,0,7,1,1,2,0,4,5,0,0,0,5,10,3,1,0,14,55
Algonquin 7,1039,3,0,0,0,3,9,5,2,2,18,3,2,2,0,7,2,3,1,0,6,4,1,2,0,7,6,8,0,1,15,56
Algonquin 8,1059,5,2,0,0,7,14,13,1,0,28,5,2,3,0,10,2,1,2,0,5,2,0,0,0,2,11,7,2,3,23,75
Algonquin 9,987,5,4,0,0,9,13,5,1,1,20,4,1,0,0,5,2,2,0,0,4,1,0,0,0,1,14,5,0,0,19,58
Algonquin 10,1002,2,0,0,0,2,9,1,2,0,12,3,1,0,0,4,2,1,0,0,3,1,0,2,0,3,3,0,1,0,4,28
Algonquin 11,870,4,5,0,0,9,27,11,3,0,41,5,1,0,0,6,6,3,1,0,10,1,0,0,0,1,7,6,0,2,15,82
Algonquin 12,847,1,1,1,0,3,6,5,1,0,12,1,2,0,0,3,1,0,1,0,2,5,1,0,0,6,13,1,2,0,16,42
Algonquin 13,810,1,4,2,0,7,7,4,3,0,14,4,0,0,0,4,3,0,1,0,4,11,5,0,0,16,7,0,0,1,8,53
Algonquin 14,1001,5,0,0,0,5,16,5,0,0,21,4,1,1,0,6,1,3,0,0,4,15,6,0,0,21,11,5,1,0,17,74
Algonquin 15,955,3,2,1,0,6,6,4,5,0,15,4,1,0,0,5,2,1,3,0,6,3,2,0,1,6,13,6,4,0,23,61
Algonquin 16,1033,2,0,1,0,3,5,2,3,0,10,3,1,0,0,4,1,0,0,0,1,1,2,0,0,3,5,5,4,0,14,35
Algonquin 17,942,9,4,0,1,14,8,5,5,0,18,3,1,2,0,6,2,1,2,0,5,2,0,0,0,2,5,3,2,0,10,55
Algonquin 18,1159,3,3,0,0,6,11,2,3,0,16,10,3,1,0,14,2,1,2,0,5,3,0,0,0,3,7,8,3,0,18,62
Algonquin 19,861,7,0,3,0,10,17,0,1,1,19,6,1,2,0,9,2,0,2,0,4,1,1,0,0,2,12,2,0,0,14,58
Algonquin 20,978,8,0,1,0,9,10,2,1,0,13,6,3,1,0,10,8,3,3,0,14,2,0,0,0,2,19,1,2,0,22,70
Algonquin 21,1004,4,0,0,0,4,24,6,6,1,37,10,1,3,0,14,5,0,1,0,6,0,0,2,0,2,14,15,3,0,32,95
Algonquin 22,1016,5,0,1,0,6,21,1,1,0,23,3,0,1,0,4,8,0,0,0,8,0,0,0,0,0,20,1,1,0,22,63
Algonquin 23,767,2,1,0,0,3,10,4,4,0,18,3,0,1,0,4,1,0,5,0,6,1,1,0,0,2,11,5,1,0,17,50
Algonquin 24,773,1,2,0,0,3,5,3,0,0,8,1,5,1,0,7,1,1,2,0,4,3,0,0,0,3,10,4,1,0,15,40
Algonquin 25,909,0,1,0,0,1,11,5,2,0,18,5,2,1,0,8,0,1,1,0,2,3,0,0,0,3,4,1,0,0,5,37
