FOR COMPTROLLER (Vote For 1),,,,,,,,,,,,,,,,,,
,,KARINA VILLA,,,,STEPHANIE A. KIFOWIT,,,,HOLLY KIM,,,,MARGARET CROKE,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
CHANNAHON PCT 001,1465,22,5,7,34,3,2,3,8,17,4,6,27,26,7,7,40,109
CHANNAHON PCT 002,1849,35,5,15,55,10,4,1,15,27,8,13,48,39,19,21,79,197
CHANNAHON PCT 003,1602,15,5,16,36,10,0,6,16,20,2,9,31,38,11,11,60,143
CHANNAHON PCT 004,1236,19,9,3,31,5,4,3,12,25,2,6,33,30,6,11,47,123
CHANNAHON PCT 005,1663,25,5,2,32,7,4,6,17,12,7,5,24,22,7,7,36,109
CRETE PCT 001,1202,42,4,5,51,14,2,6,22,37,11,8,56,68,6,3,77,206
CRETE PCT 002,1394,36,2,9,47,6,0,6,12,23,7,9,39,34,5,6,45,143
CRETE PCT 003,1342,37,3,13,53,8,3,1,12,23,2,14,39,44,8,10,62,166
CRETE PCT 004,1360,50,8,14,72,16,1,10,27,32,6,22,60,76,13,30,119,278
CRETE PCT 005,1336,62,6,18,86,15,6,6,27,59,9,14,82,96,20,9,125,320
CRETE PCT 006,1286,32,3,11,46,8,5,2,15,21,7,22,50,55,22,28,105,216
CRETE PCT 007,1248,63,7,14,84,20,0,9,29,38,9,10,57,111,12,16,139,309
CRETE PCT 008,1427,37,5,8,50,15,3,1,19,37,7,7,51,66,18,12,96,216
CRETE PCT 009,1236,39,4,7,50,13,2,4,19,25,6,9,40,42,10,9,61,170
CRETE PCT 010,1065,20,7,7,34,4,2,5,11,13,2,10,25,24,4,13,41,111
CRETE PCT 011,1094,17,1,10,28,5,1,4,10,21,3,9,33,28,12,15,55,126
CRETE PCT 012,1026,34,6,3,43,9,0,6,15,22,4,7,33,50,3,4,57,148
CUSTER PCT 001,986,5,1,1,7,3,0,2,5,4,1,6,11,22,0,4,26,49
DUPAGE PCT 001,1633,44,8,22,74,14,11,6,31,41,14,24,79,52,19,16,87,271
DUPAGE PCT 002,1425,34,12,20,66,15,3,9,27,51,27,16,94,49,19,18,86,273
DUPAGE PCT 003,1479,39,11,16,66,16,5,6,27,36,20,8,64,59,25,18,102,259
DUPAGE PCT 004,1270,36,9,7,52,10,3,0,13,30,2,21,53,23,17,10,50,168
DUPAGE PCT 005,1133,56,31,12,99,6,1,6,13,29,11,9,49,43,14,12,69,230
DUPAGE PCT 006,1189,37,15,11,63,9,12,8,29,27,22,11,60,33,25,15,73,225
DUPAGE PCT 007,1380,24,13,10,47,15,6,11,32,38,8,20,66,34,14,17,65,210
DUPAGE PCT 008,1368,38,20,18,76,16,8,2,26,27,11,7,45,32,26,9,67,214
DUPAGE PCT 009,1182,38,24,15,77,12,4,2,18,21,16,8,45,27,12,3,42,182
DUPAGE PCT 010,1698,55,35,26,116,13,9,8,30,34,25,18,77,41,38,19,98,321
DUPAGE PCT 011,1481,42,28,22,92,12,11,8,31,24,21,12,57,30,36,9,75,255
DUPAGE PCT 012,1321,53,27,16,96,8,3,5,16,10,16,19,45,20,17,13,50,207
DUPAGE PCT 013,1651,50,31,16,97,7,9,5,21,21,20,23,64,25,31,12,68,250
DUPAGE PCT 014,1500,55,33,15,103,12,3,6,21,24,23,14,61,32,28,17,77,262
DUPAGE PCT 015,1538,53,24,17,94,14,10,8,32,26,14,17,57,33,19,18,70,253
DUPAGE PCT 016,1408,51,23,25,99,13,1,6,20,28,20,13,61,32,28,13,73,253
DUPAGE PCT 017,1740,72,36,13,121,12,8,5,25,19,25,9,53,27,26,17,70,269
DUPAGE PCT 018,1459,51,39,9,99,5,3,3,11,22,13,6,41,29,18,21,68,219
DUPAGE PCT 019,1440,43,26,8,77,4,13,2,19,21,16,5,42,24,32,4,60,198
DUPAGE PCT 020,1342,26,20,14,60,5,2,6,13,23,19,10,52,17,18,13,48,173
DUPAGE PCT 021,1619,59,24,24,107,10,6,3,19,20,17,1,38,32,25,7,64,228
DUPAGE PCT 022,1708,77,23,14,114,8,12,3,23,29,18,6,53,38,18,7,63,253
DUPAGE PCT 023,1895,49,28,22,99,13,4,0,17,35,12,17,64,38,12,9,59,239
DUPAGE PCT 024,1464,35,19,9,63,13,8,8,29,20,20,17,57,35,32,13,80,229
DUPAGE PCT 025,1271,57,24,14,95,7,9,4,20,21,25,8,54,19,17,14,50,219
DUPAGE PCT 026,1312,41,20,5,66,12,3,1,16,26,19,9,54,26,9,3,38,174
DUPAGE PCT 027,1580,46,35,22,103,14,10,7,31,23,23,13,59,29,21,10,60,253
DUPAGE PCT 028,1679,51,19,15,85,5,3,2,10,23,16,11,50,36,23,14,73,218
DUPAGE PCT 029,1749,69,19,10,98,17,4,4,25,50,7,10,67,56,10,13,79,269
DUPAGE PCT 030,1367,45,27,19,91,17,15,6,38,28,17,6,51,31,35,5,71,251
DUPAGE PCT 031,880,28,11,6,45,7,5,4,16,17,7,5,29,17,9,2,28,118
DUPAGE PCT 032,1946,69,19,8,96,6,2,5,13,25,1,6,32,28,7,11,46,187
DUPAGE PCT 033,1520,45,11,15,71,15,3,5,23,12,7,6,25,34,14,8,56,175
DUPAGE PCT 034,996,29,3,11,43,9,5,8,22,20,1,15,36,99,11,30,140,241
DUPAGE PCT 035,1242,34,8,3,45,10,2,1,13,11,9,3,23,8,7,5,20,101
DUPAGE PCT 036,1946,62,20,9,91,7,1,3,11,23,8,9,40,45,15,17,77,219
DUPAGE PCT 037,1454,41,7,2,50,9,1,1,11,26,11,5,42,25,9,3,37,140
FLORENCE PCT 001,685,9,1,1,11,2,1,3,6,4,1,3,8,15,1,5,21,46
FRANKFORT PCT 001,1978,40,5,15,60,8,1,6,15,18,9,13,40,51,8,11,70,185
FRANKFORT PCT 002,1514,14,9,9,32,3,2,3,8,17,14,20,51,42,31,24,97,188
FRANKFORT PCT 003,1691,29,5,15,49,9,6,6,21,23,2,10,35,63,6,16,85,190
FRANKFORT PCT 004,1428,22,6,12,40,10,1,6,17,22,6,8,36,41,9,10,60,153
FRANKFORT PCT 005,2045,26,7,8,41,8,3,4,15,32,11,18,61,40,18,12,70,187
FRANKFORT PCT 006,1412,24,6,3,33,11,1,4,16,29,7,10,46,41,11,9,61,156
FRANKFORT PCT 007,1338,19,6,4,29,6,5,5,16,20,6,18,44,29,15,18,62,151
FRANKFORT PCT 008,1391,20,3,5,28,12,2,5,19,15,3,8,26,17,12,9,38,111
FRANKFORT PCT 009,1475,23,6,8,37,11,1,6,18,16,7,21,44,24,9,15,48,147
FRANKFORT PCT 010,1483,24,5,14,43,7,2,5,14,20,10,11,41,35,11,18,64,162
FRANKFORT PCT 011,1504,11,6,7,24,4,1,3,8,18,5,24,47,31,8,6,45,124
FRANKFORT PCT 012,1161,17,7,5,29,10,3,5,18,27,12,6,45,48,21,11,80,172
FRANKFORT PCT 013,1215,19,3,7,29,6,0,5,11,23,7,10,40,37,11,9,57,137
FRANKFORT PCT 014,1428,28,6,9,43,10,0,3,13,19,7,2,28,39,4,9,52,136
