FOR GOVERNOR AND LIEUTENANT GOVERNOR (Vote For 1),,,,,,
,,PRITZKER / MITCHELL,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Total
CHANNAHON PCT 001,1465,66,20,27,113,113
CHANNAHON PCT 002,1849,118,36,48,202,202
CHANNAHON PCT 003,1602,78,19,44,141,141
CHANNAHON PCT 004,1236,74,21,27,122,122
CHANNAHON PCT 005,1663,69,24,21,114,114
CRETE PCT 001,1202,163,22,26,211,211
CRETE PCT 002,1394,106,15,31,152,152
CRETE PCT 003,1342,114,15,42,171,171
CRETE PCT 004,1360,178,27,77,282,282
CRETE PCT 005,1336,232,40,49,321,321
CRETE PCT 006,1286,116,36,67,219,219
CRETE PCT 007,1248,233,28,53,314,314
CRETE PCT 008,1427,160,34,28,222,222
CRETE PCT 009,1236,122,23,33,178,178
CRETE PCT 010,1065,60,15,35,110,110
CRETE PCT 011,1094,72,16,36,124,124
CRETE PCT 012,1026,121,16,21,158,158
CUSTER PCT 001,986,33,2,15,50,50
DUPAGE PCT 001,1633,157,57,74,288,288
DUPAGE PCT 002,1425,152,59,64,275,275
DUPAGE PCT 003,1479,156,63,48,267,267
DUPAGE PCT 004,1270,98,33,42,173,173
DUPAGE PCT 005,1133,139,56,39,234,234
DUPAGE PCT 006,1189,110,74,47,231,231
DUPAGE PCT 007,1380,121,45,60,226,226
DUPAGE PCT 008,1368,118,64,37,219,219
DUPAGE PCT 009,1182,97,55,29,181,181
DUPAGE PCT 010,1698,146,110,69,325,325
DUPAGE PCT 011,1481,112,98,51,261,261
DUPAGE PCT 012,1321,93,61,59,213,213
DUPAGE PCT 013,1651,106,91,55,252,252
DUPAGE PCT 014,1500,121,91,54,266,266
DUPAGE PCT 015,1538,131,66,64,261,261
DUPAGE PCT 016,1408,119,71,59,249,249
DUPAGE PCT 017,1740,129,98,49,276,276
DUPAGE PCT 018,1459,104,75,42,221,221
DUPAGE PCT 019,1440,99,88,22,209,209
DUPAGE PCT 020,1342,70,60,41,171,171
DUPAGE PCT 021,1619,129,71,35,235,235
DUPAGE PCT 022,1708,155,72,29,256,256
DUPAGE PCT 023,1895,137,55,47,239,239
DUPAGE PCT 024,1464,107,84,50,241,241
DUPAGE PCT 025,1271,109,74,43,226,226
DUPAGE PCT 026,1312,103,52,19,174,174
DUPAGE PCT 027,1580,115,87,57,259,259
DUPAGE PCT 028,1679,116,59,44,219,219
DUPAGE PCT 029,1749,187,44,39,270,270
DUPAGE PCT 030,1367,123,93,37,253,253
DUPAGE PCT 031,880,64,35,18,117,117
DUPAGE PCT 032,1946,128,27,30,185,185
DUPAGE PCT 033,1520,102,35,36,173,173
DUPAGE PCT 034,996,161,22,67,250,250
DUPAGE PCT 035,1242,67,27,12,106,106
DUPAGE PCT 036,1946,135,46,41,222,222
DUPAGE PCT 037,1454,103,28,11,142,142
FLORENCE PCT 001,685,31,4,14,49,49
FRANKFORT PCT 001,1978,122,22,44,188,188
FRANKFORT PCT 002,1514,80,55,56,191,191
FRANKFORT PCT 003,1691,123,19,47,189,189
FRANKFORT PCT 004,1428,95,23,38,156,156
FRANKFORT PCT 005,2045,110,43,46,199,199
FRANKFORT PCT 006,1412,106,25,26,157,157
FRANKFORT PCT 007,1338,77,31,42,150,150
FRANKFORT PCT 008,1391,59,20,28,107,107
FRANKFORT PCT 009,1475,72,23,56,151,151
FRANKFORT PCT 010,1483,87,27,52,166,166
FRANKFORT PCT 011,1504,66,20,41,127,127
FRANKFORT PCT 012,1161,101,43,29,173,173
FRANKFORT PCT 013,1215,88,21,29,138,138
FRANKFORT PCT 014,1428,97,18,23,138,138
FRANKFORT PCT 015,1828,105,40,53,198,198
FRANKFORT PCT 016,1618,146,56,55,257,257
FRANKFORT PCT 017,1914,102,21,43,166,166
FRANKFORT PCT 018,1497,107,15,33,155,155
FRANKFORT PCT 019,1667,118,23,40,181,181
FRANKFORT PCT 020,1450,76,18,34,128,128
FRANKFORT PCT 021,1807,158,44,41,243,243
FRANKFORT PCT 022,1475,93,49,75,217,217
FRANKFORT PCT 023,1335,73,25,21,119,119
FRANKFORT PCT 024,1369,141,59,53,253,253
FRANKFORT PCT 025,1248,90,43,29,162,162
FRANKFORT PCT 026,1561,136,60,52,248,248
FRANKFORT PCT 027,1475,88,25,26,139,139
FRANKFORT PCT 028,2180,198,49,63,310,310
GREEN GARDEN PCT 001,1541,77,25,28,130,130
GREEN GARDEN PCT 002,1610,79,20,30,129,129
HOMER PCT 001,1559,52,13,24,89,89
HOMER PCT 002,1638,52,20,43,115,115
HOMER PCT 003,1309,62,20,35,117,117
HOMER PCT 004,1494,54,27,23,104,104
HOMER PCT 005,1149,46,7,22,75,75
HOMER PCT 006,1480,53,34,40,127,127
HOMER PCT 007,1457,83,21,36,140,140
HOMER PCT 008,1425,49,20,38,107,107
HOMER PCT 009,1201,50,15,30,95,95
HOMER PCT 010,1024,55,8,23,86,86
HOMER PCT 011,1483,59,28,26,113,113
HOMER PCT 012,1548,53,18,24,95,95
HOMER PCT 013,1745,59,25,36,120,120
HOMER PCT 014,1590,70,22,29,121,121
HOMER PCT 015,1921,95,38,45,178,178
HOMER PCT 016,2262,99,30,57,186,186
HOMER PCT 017,1577,49,13,34,96,96
HOMER PCT 018,2061,111,32,43,186,186
HOMER PCT 019,1712,98,25,36,159,159
JACKSON PCT 001,1653,106,28,35,169,169
JACKSON PCT 002,1359,85,24,28,137,137
JOLIET PCT 001,1381,104,28,38,170,170
JOLIET PCT 002,1221,101,22,29,152,152
JOLIET PCT 003,1213,81,12,19,112,112
JOLIET PCT 004,1252,65,18,15,98,98
JOLIET PCT 005,866,54,31,14,99,99
JOLIET PCT 006,943,77,41,20,138,138
JOLIET PCT 007,1132,127,37,40,204,204
JOLIET PCT 008,1090,76,19,32,127,127
JOLIET PCT 009,1835,103,29,60,192,192
JOLIET PCT 010,1390,107,19,38,164,164
JOLIET PCT 011,1341,102,47,20,169,169
JOLIET PCT 012,1215,98,20,16,134,134
JOLIET PCT 013,1120,87,32,16,135,135
JOLIET PCT 014,1158,99,18,14,131,131
JOLIET PCT 015,1243,74,25,21,120,120
JOLIET PCT 016,1209,116,39,23,178,178
JOLIET PCT 017,1305,102,36,42,180,180
JOLIET PCT 018,1359,130,54,53,237,237
JOLIET PCT 019,1172,110,39,35,184,184
JOLIET PCT 020,1128,93,30,37,160,160
JOLIET PCT 021,677,48,11,10,69,69
JOLIET PCT 022,1038,80,23,16,119,119
JOLIET PCT 023,990,43,24,22,89,89
JOLIET PCT 024,1101,71,24,28,123,123
JOLIET PCT 025,920,60,22,39,121,121
JOLIET PCT 026,1197,92,23,35,150,150
JOLIET PCT 027,878,52,24,9,85,85
JOLIET PCT 028,881,61,27,14,102,102
JOLIET PCT 029,1204,66,28,20,114,114
JOLIET PCT 030,1203,94,15,29,138,138
JOLIET PCT 031,1204,70,25,28,123,123
JOLIET PCT 032,898,80,28,24,132,132
JOLIET PCT 033,1088,64,11,14,89,89
JOLIET PCT 034,977,79,38,27,144,144
JOLIET PCT 035,1102,77,50,49,176,176
JOLIET PCT 036,949,77,53,32,162,162
JOLIET PCT 037,1243,79,47,41,167,167
LOCKPORT PCT 001,1800,257,61,149,467,467
LOCKPORT PCT 002,1828,141,34,24,199,199
LOCKPORT PCT 003,1692,120,25,37,182,182
