FOR GOVERNOR AND LIEUTENANT GOVERNOR (Vote For 1),,,,,,,,,,,,,,,,,,
,,DABROWSKI / MENDOZA,,,,MENDRICK / RENTERIA,,,,BAILEY / DEL MAR,,,,HEIDNER / NEITZKE-TROIKE,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
CHANNAHON PCT 001,1465,42,5,2,49,6,4,1,11,52,14,3,69,15,2,0,17,146
CHANNAHON PCT 002,1849,47,4,5,56,7,2,0,9,65,2,12,79,11,2,0,13,157
CHANNAHON PCT 003,1602,44,2,4,50,7,7,2,16,50,13,13,76,10,3,0,13,155
CHANNAHON PCT 004,1236,31,9,4,44,12,1,2,15,57,6,3,66,4,4,3,11,136
CHANNAHON PCT 005,1663,20,6,6,32,6,1,0,7,55,8,7,70,7,1,1,9,118
CRETE PCT 001,1202,16,2,1,19,7,1,0,8,19,2,4,25,1,1,1,3,55
CRETE PCT 002,1394,17,0,3,20,6,0,0,6,26,7,1,34,6,0,0,6,66
CRETE PCT 003,1342,20,1,5,26,3,1,2,6,21,3,2,26,6,0,0,6,64
CRETE PCT 004,1360,8,3,4,15,2,1,0,3,15,5,6,26,4,1,0,5,49
CRETE PCT 005,1336,18,2,3,23,3,1,0,4,6,2,0,8,1,0,0,1,36
CRETE PCT 006,1286,34,5,3,42,3,1,1,5,28,3,11,42,5,3,3,11,100
CRETE PCT 007,1248,16,3,5,24,3,0,2,5,9,1,1,11,5,0,0,5,45
CRETE PCT 008,1427,24,7,1,32,5,0,1,6,42,4,3,49,5,4,1,10,97
CRETE PCT 009,1236,28,5,3,36,7,0,0,7,25,7,5,37,7,1,0,8,88
CRETE PCT 010,1065,22,0,3,25,7,0,1,8,23,1,7,31,4,1,1,6,70
CRETE PCT 011,1094,22,10,5,37,7,1,0,8,31,11,7,49,10,2,0,12,106
CRETE PCT 012,1026,25,4,4,33,13,2,1,16,33,4,7,44,7,0,0,7,100
CUSTER PCT 001,986,36,1,3,40,10,0,1,11,70,2,9,81,10,3,0,13,145
DUPAGE PCT 001,1633,39,3,8,50,19,5,1,25,27,3,12,42,13,0,1,14,131
DUPAGE PCT 002,1425,40,6,3,49,7,3,3,13,25,6,7,38,11,4,0,15,115
DUPAGE PCT 003,1479,44,23,7,74,13,6,2,21,27,3,19,49,7,3,2,12,156
