FOR UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KEVIN RYAN,,,,ROBIN KELLY,,,,JULIANA STRATTON,,,,RAJA KRISHNAMOORTHI,,,,STEVE BOTSFORD JR.,,,,BRYAN MAXWELL,,,,JONATHAN DEAN,,,,SEAN BROWN,,,,AWISI A. BUSTOS,,,,CHRISTOPHER SWANN,,,,ADAM DELGADO (WRITE-IN),,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
CHANNAHON PCT 001,1465,2,0,3,5,11,2,2,15,32,9,10,51,23,10,12,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,117
CHANNAHON PCT 002,1849,6,2,1,9,16,7,8,31,53,9,12,74,41,16,29,86,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,2,0,0,2,0,0,0,0,205
CHANNAHON PCT 003,1602,7,0,3,10,16,3,9,28,32,4,12,48,25,14,17,56,0,0,0,0,3,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,147
CHANNAHON PCT 004,1236,6,0,1,7,19,4,2,25,26,7,3,36,26,10,21,57,0,0,0,0,1,0,0,1,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,129
CHANNAHON PCT 005,1663,3,4,0,7,12,2,3,17,32,6,8,46,23,11,8,42,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,117
CRETE PCT 001,1202,6,1,0,7,70,11,9,90,58,7,4,69,27,2,12,41,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2,1,0,0,1,1,1,1,3,0,0,0,0,214
CRETE PCT 002,1394,3,2,2,7,32,7,8,47,38,3,4,45,30,3,16,49,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,151
CRETE PCT 003,1342,2,2,1,5,39,5,15,59,45,7,11,63,29,2,16,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,176
CRETE PCT 004,1360,3,0,1,4,83,13,26,122,70,7,21,98,21,8,30,59,0,0,0,0,1,0,1,2,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,288
CRETE PCT 005,1336,5,0,1,6,83,19,17,119,104,14,8,126,38,7,20,65,3,0,0,3,1,0,0,1,0,0,0,0,2,2,0,4,1,0,0,1,3,0,2,5,0,0,0,0,330
CRETE PCT 006,1286,2,0,1,3,56,17,25,98,44,12,14,70,16,8,25,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,222
CRETE PCT 007,1248,2,0,1,3,92,11,17,120,96,15,12,123,42,4,24,70,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,321
CRETE PCT 008,1427,3,1,0,4,73,12,19,104,58,13,2,73,23,9,6,38,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,3,1,0,0,1,0,0,0,0,226
CRETE PCT 009,1236,4,0,3,7,51,12,11,74,38,9,7,54,29,2,12,43,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,181
CRETE PCT 010,1065,5,4,0,9,21,4,3,28,21,3,4,28,16,4,29,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
CRETE PCT 011,1094,3,0,1,4,26,10,12,48,16,0,8,24,23,6,14,43,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,124
CRETE PCT 012,1026,3,0,1,4,45,8,3,56,57,4,5,66,13,2,12,27,1,0,0,1,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,159
CUSTER PCT 001,986,2,0,0,2,4,1,0,5,14,1,3,18,14,0,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,53
DUPAGE PCT 001,1633,4,1,3,8,20,5,5,30,83,24,23,130,50,29,41,120,1,0,0,1,0,0,0,0,3,1,1,5,2,0,0,2,1,0,0,1,0,0,1,1,0,0,0,0,298
DUPAGE PCT 002,1425,6,0,0,6,23,9,10,42,72,19,27,118,61,33,30,124,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,2,0,2,0,0,0,0,296
DUPAGE PCT 003,1479,2,3,2,7,15,11,3,29,67,28,32,127,70,22,10,102,2,0,0,2,3,0,1,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273
DUPAGE PCT 004,1270,9,2,3,14,14,5,5,24,53,15,22,90,24,11,11,46,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,2,0,0,2,2,0,0,0,0,0,0,0,0,181
DUPAGE PCT 005,1133,10,1,2,13,27,9,7,43,66,21,11,98,30,23,20,73,5,0,0,5,0,1,0,1,0,0,1,1,1,1,0,2,0,0,1,1,0,0,1,1,0,0,0,0,238
DUPAGE PCT 006,1189,3,1,1,5,29,11,4,44,46,29,21,96,29,29,20,78,1,0,0,1,2,0,0,2,0,0,0,0,2,0,0,2,1,1,0,2,3,1,0,4,0,0,0,0,234
DUPAGE PCT 007,1380,8,3,4,15,15,5,8,28,55,20,20,95,43,13,29,85,1,0,0,1,1,1,0,2,1,0,0,1,0,2,0,2,0,0,0,0,2,0,0,2,1,0,0,1,232
DUPAGE PCT 008,1368,5,1,1,7,30,9,6,45,50,35,11,96,30,15,15,60,0,1,0,1,0,2,0,2,0,0,0,0,0,2,3,5,3,0,0,3,1,1,1,3,0,0,0,0,222
DUPAGE PCT 009,1182,3,3,2,8,14,13,4,31,56,24,19,99,22,16,5,43,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,187
DUPAGE PCT 010,1698,2,5,1,8,31,21,7,59,89,53,29,171,27,28,31,86,1,0,1,2,1,1,0,2,0,0,0,0,0,1,3,4,0,0,0,0,0,0,1,1,0,0,0,0,333
DUPAGE PCT 011,1481,2,1,1,4,16,13,3,32,61,41,24,126,25,42,20,87,1,0,1,2,2,0,1,3,0,0,1,1,1,2,0,3,2,0,0,2,0,0,0,0,0,0,0,0,260
