FOR UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASEY CHLEBEK,,,,DON TRACY,,,,R. CARY CAPPARELLI,,,,PAMELA DENISE LONG,,,,"JIMMY LEE TILLMAN, II",,,,JEANNIE EVANS,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
CHANNAHON PCT 001,1465,16,4,1,21,33,7,1,41,13,2,1,16,13,3,1,17,0,4,0,4,35,3,1,39,138
CHANNAHON PCT 002,1849,12,1,1,14,35,5,10,50,14,0,5,19,8,0,0,8,8,0,0,8,48,4,1,53,152
CHANNAHON PCT 003,1602,9,0,3,12,29,9,6,44,14,7,3,24,13,1,0,14,13,3,2,18,23,5,4,32,144
CHANNAHON PCT 004,1236,7,1,1,9,28,10,3,41,16,0,4,20,10,1,1,12,10,2,0,12,30,4,4,38,132
CHANNAHON PCT 005,1663,13,4,2,19,25,0,2,27,8,3,2,13,13,1,1,15,5,2,1,8,20,4,4,28,110
CRETE PCT 001,1202,2,0,0,2,17,1,3,21,6,2,1,9,2,0,1,3,5,1,1,7,10,2,1,13,55
CRETE PCT 002,1394,11,1,0,12,17,2,1,20,9,1,0,10,6,1,1,8,2,1,0,3,9,1,2,12,65
CRETE PCT 003,1342,6,0,2,8,16,1,3,20,9,0,1,10,2,1,2,5,4,2,0,6,9,1,1,11,60
CRETE PCT 004,1360,2,2,3,7,11,1,3,15,2,2,1,5,1,2,1,4,2,1,1,4,10,2,1,13,48
CRETE PCT 005,1336,4,0,0,4,7,0,1,8,2,2,0,4,2,0,0,2,1,0,1,2,10,3,0,13,33
CRETE PCT 006,1286,4,2,3,9,26,4,10,40,9,0,1,10,5,1,1,7,8,3,0,11,17,2,2,21,98
CRETE PCT 007,1248,7,1,2,10,8,2,1,11,3,0,0,3,2,0,0,2,5,1,2,8,8,0,3,11,45
CRETE PCT 008,1427,6,1,1,8,22,8,1,31,8,0,3,11,10,0,1,11,4,2,0,6,24,4,0,28,95
CRETE PCT 009,1236,9,0,0,9,20,8,3,31,7,2,1,10,7,0,1,8,6,0,1,7,16,3,2,21,86
CRETE PCT 010,1065,6,1,2,9,26,1,0,27,9,0,4,13,2,0,1,3,4,0,0,4,9,0,5,14,70
CRETE PCT 011,1094,7,3,0,10,21,6,2,29,13,4,7,24,7,0,0,7,3,1,1,5,17,10,2,29,104
CRETE PCT 012,1026,5,2,0,7,26,4,3,33,12,3,3,18,9,0,4,13,5,1,0,6,21,1,2,24,101
CUSTER PCT 001,986,16,0,1,17,41,3,5,49,6,0,2,8,11,0,1,12,12,0,0,12,35,3,2,40,138
DUPAGE PCT 001,1633,13,3,2,18,29,5,11,45,11,0,2,13,12,1,3,16,2,0,1,3,26,1,2,29,124
DUPAGE PCT 002,1425,5,5,1,11,29,5,9,43,6,0,2,8,7,2,0,9,5,2,0,7,29,6,2,37,115
DUPAGE PCT 003,1479,8,3,0,11,35,16,19,70,6,1,0,7,10,6,2,18,3,0,0,3,26,7,8,41,150
DUPAGE PCT 004,1270,3,2,3,8,13,1,6,20,3,0,0,3,4,1,0,5,1,1,1,3,16,1,1,18,57
DUPAGE PCT 005,1133,5,2,1,8,15,6,3,24,3,3,0,6,4,1,2,7,2,0,0,2,10,4,4,18,65
DUPAGE PCT 006,1189,3,5,0,8,12,11,4,27,0,0,1,1,4,0,0,4,4,4,0,8,8,2,0,10,58
DUPAGE PCT 007,1380,8,6,5,19,26,1,9,36,12,1,1,14,7,2,2,11,5,0,0,5,28,6,3,37,122
DUPAGE PCT 008,1368,6,1,0,7,8,10,1,19,2,3,0,5,1,2,1,4,0,1,0,1,7,4,0,11,47
DUPAGE PCT 009,1182,2,0,2,4,9,3,3,15,4,1,0,5,3,0,1,4,0,0,0,0,12,4,3,19,47
DUPAGE PCT 010,1698,4,0,2,6,12,0,1,13,3,1,0,4,5,1,0,6,4,0,0,4,5,2,0,7,40
DUPAGE PCT 011,1481,6,2,3,11,12,3,0,15,1,0,0,1,4,1,3,8,1,0,0,1,6,5,0,11,47
DUPAGE PCT 012,1321,1,1,0,2,18,8,8,34,6,3,0,9,3,0,0,3,3,2,0,5,7,6,2,15,68
DUPAGE PCT 013,1651,5,4,3,12,8,3,0,11,3,1,0,4,1,1,1,3,1,0,1,2,7,2,3,12,44
DUPAGE PCT 014,1500,3,6,2,11,9,6,3,18,1,2,0,3,2,0,0,2,4,1,0,5,19,7,8,34,73
DUPAGE PCT 015,1538,6,5,2,13,27,7,2,36,4,1,1,6,4,2,1,7,4,2,0,6,13,4,1,18,86
DUPAGE PCT 016,1408,14,0,1,15,19,0,4,23,3,2,1,6,4,1,1,6,8,1,0,9,9,2,0,11,70
DUPAGE PCT 017,1740,6,1,0,7,15,2,3,20,2,1,2,5,0,0,2,2,0,0,1,1,11,3,1,15,50
DUPAGE PCT 018,1459,5,3,1,9,12,8,1,21,4,3,1,8,3,2,2,7,2,0,0,2,6,2,0,8,55
DUPAGE PCT 019,1440,2,3,3,8,15,7,2,24,1,2,1,4,2,3,0,5,3,0,0,3,11,6,0,17,61
DUPAGE PCT 020,1342,3,4,0,7,2,6,0,8,3,3,0,6,3,0,0,3,2,2,0,4,9,3,0,12,40
DUPAGE PCT 021,1619,7,3,1,11,15,6,1,22,3,4,1,8,4,2,1,7,7,0,0,7,17,3,2,22,77
DUPAGE PCT 022,1708,6,2,0,8,25,9,2,36,6,3,1,10,3,2,2,7,3,1,0,4,21,7,3,31,96
DUPAGE PCT 023,1895,6,3,0,9,7,4,2,13,4,3,0,7,4,0,1,5,0,0,0,0,10,1,0,11,45
DUPAGE PCT 024,1464,4,1,0,5,13,5,3,21,3,0,2,5,3,3,0,6,1,1,0,2,10,3,2,15,54
DUPAGE PCT 025,1271,4,1,2,7,4,2,0,6,0,1,1,2,0,1,0,1,1,2,0,3,3,0,3,6,25
DUPAGE PCT 026,1312,7,0,1,8,3,4,0,7,1,3,0,4,0,1,0,1,6,0,0,6,12,4,2,18,44
DUPAGE PCT 027,1580,6,2,0,8,12,4,1,17,1,0,0,1,2,1,1,4,3,0,0,3,5,4,0,9,42
DUPAGE PCT 028,1679,4,1,0,5,7,0,3,10,4,1,0,5,4,4,0,8,0,1,0,1,3,4,0,7,36
DUPAGE PCT 029,1749,8,1,1,10,8,1,2,11,4,0,0,4,5,0,1,6,0,0,0,0,17,3,3,23,54
DUPAGE PCT 030,1367,3,1,0,4,10,5,0,15,1,3,1,5,3,0,0,3,2,2,0,4,4,0,0,4,35
DUPAGE PCT 031,880,4,0,0,4,18,1,4,23,6,1,0,7,2,0,0,2,3,0,0,3,11,0,0,11,50
DUPAGE PCT 032,1946,8,0,1,9,22,3,2,27,8,0,1,9,7,0,0,7,8,0,0,8,19,4,2,25,85
DUPAGE PCT 033,1520,12,5,1,18,17,3,5,25,6,0,0,6,2,0,0,2,3,1,2,6,10,1,1,12,69
DUPAGE PCT 034,996,15,0,2,17,23,5,11,39,16,0,2,18,14,7,2,23,2,0,0,2,30,2,5,37,136
DUPAGE PCT 035,1242,9,0,0,9,6,1,1,8,2,1,0,3,3,1,0,4,1,0,0,1,1,1,0,2,27
DUPAGE PCT 036,1946,14,0,2,16,26,5,4,35,11,3,4,18,1,1,1,3,3,4,1,8,18,1,2,21,101
DUPAGE PCT 037,1454,9,0,0,9,19,2,1,22,6,1,0,7,5,1,0,6,7,0,0,7,17,0,1,18,69
FLORENCE PCT 001,685,10,0,2,12,18,0,2,20,5,1,2,8,6,1,0,7,4,0,1,5,18,0,1,19,71
FRANKFORT PCT 001,1978,12,4,3,19,63,7,3,73,21,4,0,25,11,1,0,12,5,3,0,8,52,10,5,67,204
FRANKFORT PCT 002,1514,7,5,0,12,38,23,12,73,13,10,2,25,4,6,1,11,4,0,3,7,11,9,3,23,151
FRANKFORT PCT 003,1691,11,3,2,16,27,3,6,36,11,1,2,14,4,0,0,4,1,0,4,5,10,10,5,25,100
FRANKFORT PCT 004,1428,7,3,0,10,22,10,6,38,10,2,1,13,1,0,0,1,1,1,0,2,9,6,4,19,83
FRANKFORT PCT 005,2045,14,6,4,24,46,16,10,72,27,4,1,32,11,5,2,18,4,2,1,7,30,8,4,42,195
FRANKFORT PCT 006,1412,12,0,0,12,27,10,7,44,21,1,4,26,10,3,4,17,7,0,0,7,30,6,0,36,142
FRANKFORT PCT 007,1338,15,4,0,19,31,17,4,52,19,7,0,26,11,3,5,19,4,0,0,4,22,2,3,27,147
FRANKFORT PCT 008,1391,2,5,3,10,22,4,10,36,8,3,4,15,2,1,4,7,3,2,1,6,21,0,1,22,96
FRANKFORT PCT 009,1475,7,1,0,8,20,5,5,30,13,1,0,14,7,0,0,7,1,0,0,1,22,2,2,26,86
FRANKFORT PCT 010,1483,5,2,7,14,19,5,8,32,1,2,4,7,2,0,4,6,2,0,1,3,11,0,4,15,77
FRANKFORT PCT 011,1504,13,2,5,20,21,10,6,37,14,2,0,16,0,2,3,5,1,0,0,1,20,5,5,30,109
FRANKFORT PCT 012,1161,11,5,0,16,43,10,6,59,14,0,1,15,3,1,1,5,3,2,1,6,23,4,3,30,131
FRANKFORT PCT 013,1215,9,5,2,16,42,10,3,55,16,8,1,25,6,0,0,6,5,0,0,5,15,7,0,22,129
FRANKFORT PCT 014,1428,17,1,0,18,36,3,2,41,18,1,1,20,5,7,1,13,9,1,1,11,20,6,3,29,132
FRANKFORT PCT 015,1828,14,0,7,21,33,7,4,44,17,3,1,21,7,4,4,15,6,1,1,8,31,4,1,36,145
FRANKFORT PCT 016,1618,7,3,0,10,25,7,6,38,14,4,0,18,8,1,1,10,2,0,0,2,26,7,3,36,114
FRANKFORT PCT 017,1914,20,5,3,28,45,10,11,66,21,17,2,40,11,9,5,25,8,1,0,9,36,11,6,53,221
FRANKFORT PCT 018,1497,11,0,4,15,63,8,6,77,15,3,3,21,9,1,4,14,3,1,1,5,35,2,1,38,170
FRANKFORT PCT 019,1667,14,3,2,19,26,5,4,35,12,3,5,20,12,0,0,12,5,2,0,7,19,3,2,24,117
FRANKFORT PCT 020,1450,15,2,2,19,29,11,1,41,9,1,0,10,5,2,4,11,4,1,0,5,26,1,2,29,115
FRANKFORT PCT 021,1807,13,3,3,19,48,10,9,67,9,5,8,22,11,2,1,14,4,1,0,5,34,6,3,43,170
FRANKFORT PCT 022,1475,4,1,5,10,28,12,9,49,10,11,4,25,3,1,1,5,4,1,0,5,23,15,8,46,140
FRANKFORT PCT 023,1335,14,5,2,21,26,6,4,36,9,9,7,25,4,1,0,5,2,0,0,2,24,8,2,34,123
FRANKFORT PCT 024,1369,4,2,3,9,8,7,2,17,9,1,3,13,1,4,2,7,2,0,0,2,12,3,2,17,65
